Model,Group,Language,Question ID,Formulation,Choice Set
qwen,Uyghurs,en,question13,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question13,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question13,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question13,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question13,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question13,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question12,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question12,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question12,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question12,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question12,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question12,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question11,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question11,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question11,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question11,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question11,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question11,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question10,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question10,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question10,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question10,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question10,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question10,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question1,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question1,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question1,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question1,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question1,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question1,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question9,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question9,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question9,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question8,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question8,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question8,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question7,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question7,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question7,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question6,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question6,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question6,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question5,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question5,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question5,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question5,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question4,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question4,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question4,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question4,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question3,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question3,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question2,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question2,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question2,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question15,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question15,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question15,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question15,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question14,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question14,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question14,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question14,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question14,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question13,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question13,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question13,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question13,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question13,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question12,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question12,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question11,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question11,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question11,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question10,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question10,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question10,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,question1,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question1,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question1,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,question1,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,question1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,question1,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question9,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question9,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question9,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question8,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question8,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question8,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question7,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question7,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question7,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question6,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question6,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question6,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question5,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question5,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question5,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question5,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question4,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question4,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question4,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question4,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question3,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question3,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question2,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question2,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question2,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question15,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question15,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question15,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question15,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question14,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question14,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question14,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question14,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question14,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question13,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question13,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question13,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question13,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question13,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question12,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question12,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question11,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question11,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question11,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question10,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question10,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question10,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,question1,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question1,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question1,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,question1,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,question1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,question1,formulation1,"['1', '2', '3', '4']"
qwen,Tibetans,en,question9,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Tibetans,en,question9,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Tibetans,en,question9,formulation2,"['1', '2', '3', '4']"
qwen,Tibetans,en,question9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Tibetans,en,question9,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Tibetans,en,question9,formulation1,"['1', '2', '3', '4']"
qwen,Tibetans,en,question8,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Tibetans,en,question8,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Tibetans,en,question8,formulation2,"['1', '2', '3', '4']"
qwen,Tibetans,en,question8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Tibetans,en,question8,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
