Source Model,Language,Group,Choice Set,Type,Scorer Model 1,Scorer Model 2,Krippendorff Alpha,Num_Texts,Num_Scorers
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.009384660986775706,60,4.0
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Overall,All,,0.0728695008269854,60,4.0
deepseek,de,Uiguren,"(A,B,C,D) (de)",Overall,All,,0.09448004674956767,60,4.0
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.04416167473010846,60,4.0
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Overall,All,,0.19623010485690084,60,4.0
deepseek,en,Catalans,"(A,B,C,D) (en)",Overall,All,,0.12244045221042565,60,4.0
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.3362912596365256,60,4.0
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Overall,All,,0.16188528489131704,60,4.0
deepseek,en,Kurds,"(A,B,C,D) (en)",Overall,All,,0.037855353274353076,60,4.0
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.2536319935920184,60,4.0
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Overall,All,,0.07420703977458853,60,4.0
deepseek,en,Palestinians,"(A,B,C,D) (en)",Overall,All,,0.10157884193603195,60,4.0
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.38697246344650094,60,4.0
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Overall,All,,0.15866230602885179,60,4.0
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Overall,All,,0.30960182749033116,60,4.0
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.49334212005187483,60,4.0
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Overall,All,,0.1818480320012006,60,4.0
deepseek,en,Tibetans,"(A,B,C,D) (en)",Overall,All,,0.020952305954899386,60,4.0
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.022350992767994793,60,4.0
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Overall,All,,0.18501769796705647,60,4.0
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Overall,All,,0.10305947196048737,60,4.0
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.03709696370116344,60,4.0
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Overall,All,,0.029918236877265802,60,4.0
gemini,de,Katalanen,"(A,B,C,D) (de)",Overall,All,,0.04961976540983526,60,4.0
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.09293504200103275,60,4.0
gemini,de,Kurden,"(5,4,3,2,1) (de)",Overall,All,,0.05378300931851421,60,4.0
gemini,de,Kurden,"(A,B,C,D) (de)",Overall,All,,0.07284731080379214,60,4.0
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.1344806536696691,60,4.0
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Overall,All,,0.01853021944486155,60,4.0
gemini,de,Palästinenser,"(A,B,C,D) (de)",Overall,All,,0.006171363696607202,60,4.0
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.14781214214045513,60,4.0
gemini,de,Rohingya (de),"(5,4,3,2,1) (de)",Overall,All,,0.050369967065761245,60,4.0
gemini,de,Rohingya (de),"(A,B,C,D) (de)",Overall,All,,0.04249907922635476,60,4.0
gemini,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.2536715489466509,60,4.0
gemini,de,Tibeter,"(5,4,3,2,1) (de)",Overall,All,,0.04097097051373144,60,4.0
gemini,de,Tibeter,"(A,B,C,D) (de)",Overall,All,,0.0321874616522867,60,4.0
gemini,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.020826521048349034,60,4.0
gemini,de,Uiguren,"(5,4,3,2,1) (de)",Overall,All,,0.006388948570192898,60,4.0
gemini,de,Uiguren,"(A,B,C,D) (de)",Overall,All,,0.045474103901870566,60,4.0
gemini,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,-0.00936470145935231,60,4.0
gemini,en,Catalans,"(5,4,3,2,1) (en)",Overall,All,,0.09334085411919901,60,4.0
gemini,en,Catalans,"(A,B,C,D) (en)",Overall,All,,0.1301124741681573,60,4.0
gemini,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.1532183079186471,60,4.0
gemini,en,Kurds,"(5,4,3,2,1) (en)",Overall,All,,0.00976659180757622,60,4.0
gemini,en,Kurds,"(A,B,C,D) (en)",Overall,All,,0.04477158999192887,60,4.0
gemini,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.20523521397816402,60,4.0
gemini,en,Palestinians,"(5,4,3,2,1) (en)",Overall,All,,0.024598021350535237,60,4.0
gemini,en,Palestinians,"(A,B,C,D) (en)",Overall,All,,0.0011510253906364953,60,4.0
gemini,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.11004393870159979,60,4.0
gemini,en,Rohingya (en),"(5,4,3,2,1) (en)",Overall,All,,0.07317575130047693,60,4.0
gemini,en,Rohingya (en),"(A,B,C,D) (en)",Overall,All,,0.09794708426697218,60,4.0
gemini,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.24403895424143518,60,4.0
gemini,en,Tibetans,"(5,4,3,2,1) (en)",Overall,All,,0.04384139176095825,60,4.0
gemini,en,Tibetans,"(A,B,C,D) (en)",Overall,All,,0.12027223601016845,60,4.0
gemini,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.272875911934621,60,4.0
gemini,en,Uyghurs,"(5,4,3,2,1) (en)",Overall,All,,0.029578104347268486,60,4.0
gemini,en,Uyghurs,"(A,B,C,D) (en)",Overall,All,,0.05728714805496682,60,4.0
gemini,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.08168347072537097,60,4.0
gpt,de,Katalanen,"(5,4,3,2,1) (de)",Overall,All,,-0.009271324436532336,60,4.0
gpt,de,Katalanen,"(A,B,C,D) (de)",Overall,All,,0.032284770074631264,60,4.0
gpt,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.18212995148744993,60,4.0
gpt,de,Kurden,"(5,4,3,2,1) (de)",Overall,All,,0.11186995025418867,60,4.0
gpt,de,Kurden,"(A,B,C,D) (de)",Overall,All,,0.030281857950821167,60,4.0
gpt,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.36805880800968005,60,4.0
gpt,de,Palästinenser,"(5,4,3,2,1) (de)",Overall,All,,0.05007755754576204,60,4.0
gpt,de,Palästinenser,"(A,B,C,D) (de)",Overall,All,,0.04074806504915063,60,4.0
gpt,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.4128216132673307,60,4.0
gpt,de,Rohingya (de),"(5,4,3,2,1) (de)",Overall,All,,0.029281800447677475,60,4.0
gpt,de,Rohingya (de),"(A,B,C,D) (de)",Overall,All,,0.21283740337429258,60,4.0
gpt,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.29455989175048247,60,4.0
gpt,de,Tibeter,"(5,4,3,2,1) (de)",Overall,All,,0.06582615374164946,60,4.0
gpt,de,Tibeter,"(A,B,C,D) (de)",Overall,All,,0.037430869907874476,60,4.0
gpt,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.1023534010534688,60,4.0
gpt,de,Uiguren,"(5,4,3,2,1) (de)",Overall,All,,0.06041476608179852,60,4.0
gpt,de,Uiguren,"(A,B,C,D) (de)",Overall,All,,0.20776434869343552,60,4.0
gpt,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.05944213528804032,60,4.0
gpt,en,Catalans,"(5,4,3,2,1) (en)",Overall,All,,0.13811171078005058,60,4.0
gpt,en,Catalans,"(A,B,C,D) (en)",Overall,All,,0.06989381272782369,60,4.0
gpt,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.22601399486274543,60,4.0
gpt,en,Kurds,"(5,4,3,2,1) (en)",Overall,All,,0.28737999769615685,60,4.0
gpt,en,Kurds,"(A,B,C,D) (en)",Overall,All,,0.2520342814181682,60,4.0
gpt,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.40176739414357876,60,4.0
gpt,en,Palestinians,"(5,4,3,2,1) (en)",Overall,All,,0.05379406919129237,60,4.0
gpt,en,Palestinians,"(A,B,C,D) (en)",Overall,All,,0.18280312845399505,60,4.0
gpt,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.26943801327974826,60,4.0
gpt,en,Rohingya (en),"(5,4,3,2,1) (en)",Overall,All,,0.3361339289999684,60,4.0
gpt,en,Rohingya (en),"(A,B,C,D) (en)",Overall,All,,0.3566618934561011,60,4.0
gpt,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.46684346034838187,60,4.0
gpt,en,Tibetans,"(5,4,3,2,1) (en)",Overall,All,,0.12406681147912246,60,4.0
gpt,en,Tibetans,"(A,B,C,D) (en)",Overall,All,,0.16138966229221674,60,4.0
gpt,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.2430923376029418,60,4.0
gpt,en,Uyghurs,"(5,4,3,2,1) (en)",Overall,All,,0.022358110183421154,60,4.0
gpt,en,Uyghurs,"(A,B,C,D) (en)",Overall,All,,0.1305069294988851,60,4.0
gpt,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.12517800993827222,60,4.0
qwen,de,Katalanen,"(5,4,3,2,1) (de)",Overall,All,,0.20151234674282759,60,4.0
qwen,de,Katalanen,"(A,B,C,D) (de)",Overall,All,,0.08275963044842927,60,4.0
qwen,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.2661081861270148,60,4.0
qwen,de,Kurden,"(5,4,3,2,1) (de)",Overall,All,,0.08814149936275784,60,4.0
qwen,de,Kurden,"(A,B,C,D) (de)",Overall,All,,0.08182528296531633,60,4.0
qwen,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.1980674528256965,60,4.0
qwen,de,Palästinenser,"(5,4,3,2,1) (de)",Overall,All,,0.16555117567407585,60,4.0
qwen,de,Palästinenser,"(A,B,C,D) (de)",Overall,All,,0.03383657476756963,60,4.0
qwen,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.30835623892351505,60,4.0
qwen,de,Rohingya (de),"(5,4,3,2,1) (de)",Overall,All,,0.0028561036898813175,60,4.0
qwen,de,Rohingya (de),"(A,B,C,D) (de)",Overall,All,,0.20146973839063875,60,4.0
qwen,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.37112601422537217,60,4.0
qwen,de,Tibeter,"(5,4,3,2,1) (de)",Overall,All,,0.06297177293448175,60,4.0
qwen,de,Tibeter,"(A,B,C,D) (de)",Overall,All,,0.1549041205993339,60,4.0
qwen,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.13377137626286573,60,4.0
qwen,de,Uiguren,"(5,4,3,2,1) (de)",Overall,All,,0.08838123833615685,60,4.0
qwen,de,Uiguren,"(A,B,C,D) (de)",Overall,All,,0.17549897645480272,60,4.0
qwen,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.06625913677625395,60,4.0
qwen,en,Catalans,"(5,4,3,2,1) (en)",Overall,All,,0.05603175616996292,60,4.0
qwen,en,Catalans,"(A,B,C,D) (en)",Overall,All,,0.0696638727860237,60,4.0
qwen,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.3014742936665692,60,4.0
qwen,en,Kurds,"(5,4,3,2,1) (en)",Overall,All,,0.2008368659066464,60,4.0
qwen,en,Kurds,"(A,B,C,D) (en)",Overall,All,,0.1298096547080161,60,4.0
qwen,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.4014194209306916,60,4.0
qwen,en,Palestinians,"(5,4,3,2,1) (en)",Overall,All,,0.13352142310550308,60,4.0
qwen,en,Palestinians,"(A,B,C,D) (en)",Overall,All,,0.1255870158120611,60,4.0
qwen,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.254462459772244,60,4.0
qwen,en,Rohingya (en),"(5,4,3,2,1) (en)",Overall,All,,0.1608164892131756,60,4.0
qwen,en,Rohingya (en),"(A,B,C,D) (en)",Overall,All,,0.2711915764230701,60,4.0
qwen,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.6576099153483286,60,4.0
qwen,en,Tibetans,"(5,4,3,2,1) (en)",Overall,All,,0.08725565379026856,60,4.0
qwen,en,Tibetans,"(A,B,C,D) (en)",Overall,All,,0.08873127570006178,60,4.0
qwen,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.298381351180001,60,4.0
qwen,en,Uyghurs,"(5,4,3,2,1) (en)",Overall,All,,0.0682447001590406,60,4.0
qwen,en,Uyghurs,"(A,B,C,D) (en)",Overall,All,,0.12160613924937391,60,4.0
qwen,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Overall,All,,0.1643875662438531,60,4.0
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.019418080197163956,60,
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,-0.007473601566329036,60,
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.027351088475005003,60,
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,0.0158542423367789,60,
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.11126875738273301,60,
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.043718785457799614,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.06792081346937207,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.09383925790196967,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.14239987489860217,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gemini,gpt,-0.00757694360573713,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gemini,qwen,-0.0023598948838419176,60,
deepseek,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gpt,qwen,-0.006604837169505329,60,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.03413494895430669,60,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.01817455392990086,57,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.07645966770488344,60,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,-0.007243352868842257,57,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.32757670603862854,60,
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.2865469691394301,57,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.06039619516590622,60,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.12282605718198936,60,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,-0.008457759602900072,60,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,-0.005824527455233319,60,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.05031143484148093,60,
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.09771476158432846,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.13485609119202935,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.09304407907724421,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.21791767554479424,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,gemini,gpt,0.00010922181163686151,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,gemini,qwen,-0.004091783315788078,60,
deepseek,de,Kurden,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.02064815853058477,60,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,-0.007412435642075943,60,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.002419715886165963,59,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.2629158083567009,60,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,-0.0036598691146363382,59,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.2943028722689739,60,
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.4117146905999055,59,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,-0.008090339231924482,60,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.09161371323795275,60,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,-0.006247370477221015,60,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,0.07855882644464263,60,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,-0.004212201784303815,60,
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.10772051781449343,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.09304407907724399,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.12437552081464398,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.20544427324088343,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gemini,gpt,-0.006382500679485759,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gemini,qwen,0.015590390280643796,60,
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.003414375172849815,60,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.16699771537100516,60,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.055645418508394884,58,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.09338585303176294,60,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,0.02166515426497262,58,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.5016531155185637,60,
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.3048959785747336,58,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.021937386343230947,60,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.019794152238500784,60,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.048446701677379744,60,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,-0.0028233223991611656,60,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,-0.004514440944619391,60,
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.004595155019485819,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.06577396005766567,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.03388619003347604,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.5271187533754963,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,gemini,gpt,-0.0037914674987566954,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,gemini,qwen,0.1363507323532468,60,
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.22440569496807394,60,
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.03497191308743386,60,
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.24310505958459638,57,
